,topic,weights
0,similar,2.386294361119891
1,defines,3.0794415416798357
2,getparameter,3.0794415416798357
3,instance,2.791759469228055
4,boolean,2.5686159179138452
5,method,1.8754687373538999
6,stop,3.0794415416798357
7,file,2.5686159179138452
8,data,2.09861228866811
9,checking,3.0794415416798357
10,does,2.09861228866811
11,return,2.791759469228055
12,garbage,2.2321436812926323
13,comments,3.0794415416798357
14,methods,2.5686159179138452
15,machine,3.0794415416798357
16,following,2.09861228866811
17,version,2.791759469228055
18,class,1.538996500732687
19,sockets,3.0794415416798357
20,shows,2.791759469228055
21,loop,3.0794415416798357
22,types,2.2321436812926323
23,button,2.5686159179138452
24,easily,2.791759469228055
25,string,1.9808292530117262
26,byte,2.791759469228055
27,refer,2.386294361119891
28,10,2.791759469228055
29,program,2.09861228866811
30,look,2.791759469228055
31,create,3.0794415416798357
32,used,2.5686159179138452
33,written,3.0794415416798357
34,codevoid,3.0794415416798357
35,note,2.5686159179138452
36,compiler,2.791759469228055
37,second,3.0794415416798357
38,test,3.0794415416798357
39,operator,2.09861228866811
40,variablename,3.0794415416798357
41,make,2.5686159179138452
42,args,3.0794415416798357
43,instead,3.0794415416798357
44,instantiated,3.0794415416798357
45,use,1.8754687373538999
46,true,2.791759469228055
47,language,1.8754687373538999
48,14,3.0794415416798357
49,animations,3.0794415416798357
50,like,2.791759469228055
51,hi,3.0794415416798357
52,example,1.613104472886409
53,elements,2.791759469228055
54,element,2.791759469228055
55,p2,3.0794415416798357
56,allocate,2.386294361119891
57,using,2.386294361119891
58,applet,2.5686159179138452
59,constructor,3.0794415416798357
60,prints,3.0794415416798357
61,portable,3.0794415416798357
62,called,2.791759469228055
63,objects,1.6931471805599454
64,unicode,3.0794415416798357
65,initialized,3.0794415416798357
66,reside,2.791759469228055
67,secure,3.0794415416798357
68,features,3.0794415416798357
69,platform,3.0794415416798357
70,automatic,3.0794415416798357
71,predefined,2.791759469228055
72,programs,2.5686159179138452
73,main,2.791759469228055
74,init,2.386294361119891
75,wide,3.0794415416798357
76,runtime,2.386294361119891
77,web,3.0794415416798357
78,browser,2.386294361119891
79,object,1.613104472886409
80,ok,2.791759469228055
81,collection,2.386294361119891
82,false,3.0794415416798357
83,array,1.9808292530117262
84,comparison,3.0794415416798357
85,section,3.0794415416798357
86,sizeof,2.5686159179138452
87,contrast,2.791759469228055
88,parameters,3.0794415416798357
89,executed,2.791759469228055
90,constant,3.0794415416798357
91,left,3.0794415416798357
92,trivialapplet,3.0794415416798357
93,void,2.386294361119891
94,allocates,2.791759469228055
95,window,3.0794415416798357
96,just,3.0794415416798357
97,typename,2.791759469228055
98,memory,2.09861228866811
99,statements,2.791759469228055
100,foo,3.0794415416798357
101,arrays,3.0794415416798357
102,paint,3.0794415416798357
103,references,2.791759469228055
104,reference,2.386294361119891
105,expr,3.0794415416798357
106,basicsjava,1.6931471805599454
107,static,3.0794415416798357
108,code,1.6931471805599454
109,public,2.09861228866811
110,output,3.0794415416798357
111,final,3.0794415416798357
112,suspend,3.0794415416798357
113,type,2.386294361119891
114,int,1.613104472886409
115,variable,2.791759469228055
116,default,3.0794415416798357
117,value,2.5686159179138452
118,contain,3.0794415416798357
119,www,2.791759469228055
120,literal,3.0794415416798357
121,appletviewer,3.0794415416798357
122,consider,3.0794415416798357
123,variables,2.5686159179138452
124,passed,3.0794415416798357
125,applications,2.791759469228055
126,collector,3.0794415416798357
127,stack,2.5686159179138452
128,primitive,2.09861228866811
129,new,1.6931471805599454
130,exception,3.0794415416798357
