,topic,weights
0,parameters,3.0794415416798357
1,defines,3.0794415416798357
2,getparameter,3.0794415416798357
3,instance,2.791759469228055
4,added,3.0794415416798357
5,boolean,2.5686159179138452
6,object,1.613104472886409
7,stop,3.0794415416798357
8,data,2.09861228866811
9,pointer,2.791759469228055
10,does,2.09861228866811
11,return,2.791759469228055
12,existing,3.0794415416798357
13,stack,2.5686159179138452
14,prints,3.0794415416798357
15,methods,2.5686159179138452
16,machine,3.0794415416798357
17,following,2.09861228866811
18,true,2.791759469228055
19,make,2.5686159179138452
20,class,1.538996500732687
21,compilation,3.0794415416798357
22,loop,3.0794415416798357
23,array,1.9808292530117262
24,button,2.5686159179138452
25,string,1.9808292530117262
26,byte,2.791759469228055
27,applets,2.5686159179138452
28,refer,2.386294361119891
29,arithmetic,3.0794415416798357
30,portable,3.0794415416798357
31,start,3.0794415416798357
32,final,3.0794415416798357
33,create,3.0794415416798357
34,reference,2.386294361119891
35,graphics,3.0794415416798357
36,source,2.5686159179138452
37,note,2.5686159179138452
38,compiler,2.791759469228055
39,import,3.0794415416798357
40,34,3.0794415416798357
41,placed,3.0794415416798357
42,operator,2.09861228866811
43,inthis,3.0794415416798357
44,dynamically,3.0794415416798357
45,package,3.0794415416798357
46,static,3.0794415416798357
47,use,1.8754687373538999
48,language,1.8754687373538999
49,void,2.386294361119891
50,consider,3.0794415416798357
51,args,3.0794415416798357
52,pointers,2.5686159179138452
53,elements,2.791759469228055
54,14,3.0794415416798357
55,p2,3.0794415416798357
56,allocate,2.386294361119891
57,unicode,3.0794415416798357
58,constructor,3.0794415416798357
59,comments,3.0794415416798357
60,equivalent,2.791759469228055
61,called,2.791759469228055
62,const,3.0794415416798357
63,objects,1.6931471805599454
64,width,3.0794415416798357
65,secure,3.0794415416798357
66,features,3.0794415416798357
67,platform,3.0794415416798357
68,automatic,3.0794415416798357
69,expressions,3.0794415416798357
70,println,2.791759469228055
71,programs,2.5686159179138452
72,main,2.791759469228055
73,init,2.386294361119891
74,threads,3.0794415416798357
75,robust,3.0794415416798357
76,runtime,2.386294361119891
77,version,2.791759469228055
78,browser,2.386294361119891
79,method,1.8754687373538999
80,set,3.0794415416798357
81,ok,2.791759469228055
82,collection,2.386294361119891
83,false,3.0794415416798357
84,types,2.2321436812926323
85,exception,3.0794415416798357
86,simple,2.791759469228055
87,executed,2.791759469228055
88,constant,3.0794415416798357
89,left,3.0794415416798357
90,animations,3.0794415416798357
91,containing,3.0794415416798357
92,memory,2.09861228866811
93,applications,2.791759469228055
94,foo,3.0794415416798357
95,file,2.5686159179138452
96,library,3.0794415416798357
97,garbage,2.2321436812926323
98,null,2.2321436812926323
99,arrays,3.0794415416798357
100,expr,3.0794415416798357
101,basicsjava,1.6931471805599454
102,calloc,2.5686159179138452
103,code,1.6931471805599454
104,public,2.09861228866811
105,output,3.0794415416798357
106,codevoid,3.0794415416798357
107,int,1.613104472886409
108,test,3.0794415416798357
109,default,3.0794415416798357
110,value,2.5686159179138452
111,applet,2.5686159179138452
112,definitions,3.0794415416798357
113,www,2.791759469228055
114,new,1.6931471805599454
115,literal,3.0794415416798357
116,appletviewer,3.0794415416798357
117,extends,3.0794415416798357
118,element,2.791759469228055
119,passed,3.0794415416798357
120,statements,2.791759469228055
121,collector,3.0794415416798357
122,example,1.613104472886409
123,primitive,2.09861228866811
124,program,2.09861228866811
125,sizeof,2.5686159179138452
